ms,valve_a_pct,valve_b_pct,q_des,q_des_csv,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
4567,89.466126810988,33.92895607960787,-9.057679288003046,25.90481115872287,25.90481115872287,,3580,4.371184371184372,506.14926739926744,2002,2.444444444444444,218.5833333333333,2.6756135036609114,2.719231094152519,31.2890625
4600,91.25673885135528,32.23401047038813,-7.756266605197026,27.334631269027415,27.334631269027415,,3636,4.43956043956044,516.3543956043957,1945,2.374847374847375,208.1959706959707,2.6590218240283865,2.719231094152519,33.046875
4633,90.40936086837215,32.16207078000296,-7.756266605197026,27.844205583959297,27.844205583959297,,3675,4.487179487179487,523.4615384615385,1895,2.313797313797314,199.0842490842491,2.6325647463957194,2.6900845369344086,34.1015625
4669,92.34858339349682,30.744479237794813,-7.756266605197026,28.876040637208117,28.876040637208117,,3742,4.568986568986569,535.6712454212453,1859,2.2698412698412698,192.52380952380952,2.6061597894174686,2.6789553034004134,35.5078125
4700,92.40204866446688,30.783132975249856,-7.756266605197026,29.57949435901338,29.57949435901338,,3769,4.601953601953602,540.5915750915751,1836,2.241758241758242,188.33241758241758,2.6061597894174686,2.647400629993542,36.650390625
4733,93.77765211528984,29.207176775353673,-7.756266605197026,29.788486926147527,29.788486926147527,,3808,4.64957264957265,547.6987179487179,1808,2.2075702075702077,183.2298534798535,2.609169119302266,2.647400629993542,37.353515625
4767,94.21022499833826,28.86241028184556,-7.756266605197026,30.32001907408274,30.32001907408274,,3830,4.676434676434677,551.7078754578755,1778,2.170940170940171,177.76282051282055,2.5915386030214886,2.64874141780121,38.232421875
4800,96.66749253201277,25.88606621511143,-7.756266605197026,30.780386309069947,30.780386309069947,,3910,4.774114774114774,566.2866300366301,1756,2.144078144078144,173.75366300366298,2.585261702815145,2.643292269882039,39.0234375
4833,97.06692047589704,25.616469079694852,-7.756266605197026,31.70727329947173,31.70727329947173,,3917,4.7826617826617825,567.562271062271,1706,2.083028083028083,164.6419413919414,2.585261702815145,2.6346512831183517,40.166015625
4868,98.71090347788021,23.994102048972856,-7.756266605197026,32.80866170215171,32.80866170215171,,3960,4.835164835164835,575.3983516483516,1655,2.0207570207570207,155.34798534798534,2.5756213569838016,2.6346512831183517,41.484375
4900,97.01629508967582,24.030634923215764,-7.756266605197026,33.320742946738044,33.320742946738044,,3988,4.869352869352869,580.5009157509156,1621,1.979242979242979,149.15201465201463,2.55523188860474,2.602348642245895,42.36328125
4933,94.93727040192927,24.515923956677263,-7.756266605197026,33.65871993560681,33.65871993560681,,4012,4.898656898656898,584.874542124542,1586,1.9365079365079365,142.77380952380952,2.533857235958954,2.5584802423594186,43.06640625
4967,94.06188927050391,24.96753459848246,-7.756266605197026,33.73245255817188,33.73245255817188,,4009,4.8949938949938945,584.3278388278387,1576,1.9242979242979243,140.9514652014652,2.533857235958954,2.5481661102386295,43.505859375
5000,94.28327979308368,23.987656363474787,-7.756266605197026,33.144560936368656,33.144560936368656,,4036,4.927960927960928,589.2481684981685,1591,1.9426129426129426,143.68498168498166,2.537693636228996,2.5481661102386295,43.330078125
5033,93.56998132065738,25.046211224522708,-7.756266605197026,32.70745263786977,32.70745263786977,,4020,4.908424908424908,586.3324175824175,1589,1.9401709401709402,143.32051282051282,2.521954945511093,2.560990452994796,43.154296875
5067,91.72902934536472,27.17350766949095,-7.756266605197026,32.78848204260363,32.78848204260363,,3965,4.841269841269841,576.3095238095237,1588,1.938949938949939,143.1382783882784,2.533434981259969,2.5465520109883593,43.330078125
5100,89.43352392096891,28.97233764270003,-7.756266605197026,31.935235698393317,31.935235698393317,,3932,4.800976800976801,570.2957875457874,1627,1.9865689865689864,150.24542124542123,2.513481342252884,2.5336471928930693,42.71484375
5133,87.30145551761265,30.65044160875884,-7.756266605197026,30.79314404656924,30.79314404656924,,3843,4.6923076923076925,554.0769230769231,1695,2.0695970695970693,162.6373626373626,2.513481342252884,2.5336471928930693,41.748046875
5167,84.21374596574556,33.97704553996323,-7.756266605197026,28.121860158085973,28.121860158085973,,3776,4.610500610500611,541.8672161172162,1762,2.1514041514041518,174.84706959706963,2.5519187160064787,2.548862647741207,39.375
5200,81.70027999454217,37.579718965527576,-7.756266605197026,26.174733565257807,26.174733565257807,,3675,4.487179487179487,523.4615384615385,1869,2.282051282051282,194.34615384615384,2.5525450717629643,2.587365859612932,37.353515625
5233,78.40325894464718,40.6661998047891,-7.756266605197026,24.176323636605662,24.176323636605662,,3559,4.345543345543346,502.32234432234435,1960,2.393162393162393,210.92948717948718,2.6070381718098696,2.602498876757412,35.15625
5267,75.79836748672301,44.03601013170439,-7.756266605197026,21.481007492025544,21.481007492025544,,3492,4.263736263736264,490.1126373626373,2061,2.5164835164835164,229.33516483516482,2.6070381718098696,2.602498876757412,32.255859375
5300,75.44348643624238,45.425202176972356,-7.756266605197026,19.919047177542737,19.919047177542737,,3408,4.1611721611721615,474.8049450549451,2146,2.6202686202686203,244.8250915750916,2.626331424386599,2.645336984500843,30.146484375
5333,74.18831027724076,46.89653301791549,-7.756266605197026,18.588242151279964,18.588242151279964,,3316,4.048840048840049,458.0393772893773,2205,2.692307692307692,255.57692307692304,2.6684300393090044,2.672884776967092,28.212890625
5367,72.51256071370518,47.062725762412846,-7.756266605197026,16.733112847943875,16.733112847943875,,3267,3.989010989010989,449.1098901098901,2278,2.7814407814407813,268.8800366300366,2.6867259424510697,2.6945302896847876,25.83984375
5400,71.70094119111455,47.81153249276646,-7.756266605197026,15.147031166244817,15.147031166244817,,3208,3.916971916971917,438.35805860805857,2357,2.8778998778998774,283.27655677655673,2.6867259424510697,2.7418968772398835,23.642578125
5433,71.95479768978245,48.04054953666564,-7.465648822616705,14.20258152583505,14.20258152583505,,3166,3.8656898656898657,430.70421245421244,2391,2.9194139194139197,289.4725274725275,2.7161927985713272,2.7418968772398835,21.97265625
5467,72.6188480028852,47.33149239374288,16.04748036292432,13.507443017560277,13.507443017560277,,3168,3.868131868131868,431.0686813186813,2407,2.938949938949939,292.3882783882784,2.725893174189976,2.7525998535591825,20.56640625
5500,73.67161387879739,45.86932159083812,16.04748036292432,14.597295768835068,14.597295768835068,,3165,3.8644688644688645,430.521978021978,2408,2.9401709401709404,292.5705128205128,2.7291500429554367,2.754612383397944,20.7421875
5533,73.4383040780283,45.97377632061004,16.04748036292432,15.605843917172457,15.605843917172457,,3156,3.8534798534798536,428.88186813186815,2416,2.94993894993895,294.02838827838826,2.7291500429554367,2.7482478612896104,21.09375
5567,73.88547517891904,45.73869236096635,16.04748036292432,15.554261027670583,15.554261027670583,,3169,3.8693528693528694,431.25091575091574,2390,2.9181929181929185,289.2902930402931,2.74357348897343,2.7482478612896104,20.7421875
5600,74.14903003365053,45.24393333846494,16.04748036292432,16.27279336024585,16.27279336024585,,3161,3.8595848595848596,429.7930402930403,2376,2.9010989010989015,286.73901098901104,2.7377822539916754,2.7509236536475643,21.09375
5633,74.57778325880311,45.05566500281585,16.04748036292432,17.260386568997287,17.260386568997287,,3184,3.8876678876678876,433.98443223443223,2337,2.853479853479853,279.6318681318681,2.7190352558266477,2.7438414010011174,21.796875
5667,76.89467780485418,43.841145343618784,16.20458927830655,18.61327676381663,18.61327676381663,,3237,3.952380952380952,443.64285714285705,2316,2.8278388278388276,275.804945054945,2.7190352558266477,2.7321970532856903,22.939453125
5700,77.66269521291053,43.182188028589785,23.319288662213985,19.371431398504978,19.371431398504978,,3269,3.9914529914529915,449.47435897435895,2292,2.7985347985347984,271.43131868131866,2.717283413955913,2.7321970532856903,23.73046875
5733,79.46778590581596,41.80651404615075,23.319288662213985,20.373885557447764,20.373885557447764,,3324,4.058608058608058,459.49725274725273,2255,2.7533577533577533,264.6886446886447,2.7091168945001938,2.7315613205082627,24.78515625
5767,82.05313616871936,41.03018149680037,23.319288662213985,21.91951531825041,21.91951531825041,,3368,4.112332112332112,467.5155677655677,2220,2.7106227106227103,258.31043956043953,2.710504541730019,2.7385485694416665,26.3671875
5800,84.24469458689315,38.94100362755424,23.319288662213985,22.90189957067961,22.90189957067961,,3432,4.190476190476191,479.17857142857144,2184,2.6666666666666665,251.74999999999997,2.710504541730019,2.7473208609079127,27.59765625
5833,85.74411268174642,37.47299507967375,23.319288662213985,24.265801972254003,24.265801972254003,,3472,4.239316239316239,486.4679487179487,2130,2.600732600732601,241.90934065934067,2.6986074729876792,2.7473208609079127,29.1796875
5867,87.566221699932,35.354236827682655,23.319288662213985,25.33577567386813,25.33577567386813,,3529,4.30891330891331,496.8553113553114,2069,2.526251526251526,230.79304029304026,2.685390193382602,2.7481742480925773,30.5859375
5900,88.54345081960125,34.867566001400455,23.319288662213985,26.909964373526314,26.909964373526314,,3566,4.354090354090355,503.5979853479854,2014,2.459096459096459,220.77014652014648,2.668828204753961,2.7297028566842334,32.431640625
5933,89.69986696323629,33.69561709748123,23.319288662213985,28.39668197207898,28.39668197207898,,3613,4.411477411477412,512.1630036630037,1969,2.404151404151404,212.56959706959705,2.668828204753961,2.7050792906871886,34.27734375
5967,90.38223233922906,33.11071526662609,23.319288662213985,29.719451834110366,29.719451834110366,,3650,4.456654456654457,518.9056776556777,1924,2.3492063492063493,204.36904761904762,2.6446534913748474,2.7050792906871886,36.03515625
6000,90.18927056905079,32.59533555435422,23.319288662213985,30.06327281001053,30.06327281001053,,3697,4.514041514041514,527.4706959706959,1893,2.3113553113553116,198.71978021978023,2.626108186486712,2.683632925966183,37.001953125
6033,92.1345048669821,30.93176886794287,23.319288662213985,30.735665895141363,30.735665895141363,,3761,4.592185592185592,539.1336996336996,1877,2.2918192918192917,195.80402930402926,2.61534313237691,2.6739656225711683,38.14453125
6067,93.5808389759645,29.802203676540483,23.319288662213985,31.138482617294624,31.138482617294624,,3800,4.63980463980464,546.2408424908425,1840,2.2466422466422467,189.06135531135533,2.6115210185055266,2.6663250258563553,39.0234375
6100,95.66265091016056,27.859646627532342,23.319288662213985,31.82926866654759,31.82926866654759,,3847,4.697191697191697,554.8058608058608,1801,2.199023199023199,181.95421245421247,2.6115210185055266,2.6663250258563553,40.078125
6133,96.44454047131387,27.55722996209421,23.319288662213985,33.17465657504577,33.17465657504577,,3870,4.725274725274725,558.9972527472528,1749,2.1355311355311355,172.47802197802199,2.593650429231078,2.6600331732015006,41.66015625
6167,94.98715250099922,27.181030435537878,23.319288662213985,33.81315554350246,33.81315554350246,,3907,4.77045177045177,565.7399267399267,1707,2.0842490842490844,164.82417582417582,2.577686864245118,2.621903839575449,42.71484375
6200,95.3551415955138,26.034717804298324,23.319288662213985,34.27742663477681,34.27742663477681,,3954,4.827838827838828,574.304945054945,1695,2.0695970695970693,162.6373626373626,2.5660718872086665,2.6089449123631487,43.59375
6233,94.58991384904508,26.43248598024709,23.319288662213985,34.47810853289934,34.47810853289934,,3948,4.82051282051282,573.2115384615383,1667,2.0354090354090353,157.5347985347985,2.5660718872086665,2.6033895546803736,44.208984375
6267,94.89271818358172,25.750767355293014,23.319288662213985,34.43948342481755,34.43948342481755,,3976,4.854700854700854,578.3141025641025,1670,2.039072039072039,158.0815018315018,2.5586450710217528,2.6033895546803736,44.560546875
6300,93.81115992908613,26.3677268498053,23.318405895333058,34.28184226661415,34.28184226661415,,3970,4.847374847374847,577.2206959706959,1663,2.0305250305250304,156.8058608058608,2.5578645032096117,2.592783348118745,44.736328125
6333,93.11708556685272,26.786340077028942,22.97928741231281,33.89788222988479,33.89788222988479,,3970,4.847374847374847,577.2206959706959,1653,2.0183150183150182,154.98351648351647,2.5484608548183023,2.594940064615998,44.6484375
6367,92.82449214113007,27.2102262591007,22.97928741231281,33.81809365572968,33.81809365572968,,3965,4.841269841269841,576.3095238095237,1666,2.034188034188034,157.35256410256406,2.5484608548183023,2.5914167036931435,44.736328125
6400,92.3100436681053,27.623051612498234,22.97928741231281,33.569778651263555,33.569778651263555,,3954,4.827838827838828,574.304945054945,1669,2.0378510378510377,157.8992673992674,2.553778762286118,2.5914167036931435,44.6484375
6433,91.17269438309782,28.948019459938784,22.97928741231281,33.47586600645367,33.47586600645367,,3924,4.791208791208791,568.8379120879121,1663,2.0305250305250304,156.8058608058608,2.5517180701837434,2.5912380565390056,44.6484375
6467,88.50944748824779,30.943000892126594,22.97928741231281,32.99286071878346,32.99286071878346,,3893,4.753357753357753,563.1886446886447,1694,2.068376068376068,162.45512820512818,2.547395864497474,2.5810694044632925,44.296875
6500,85.09344208193103,33.38695064466597,22.97928741231281,31.65105342825031,31.65105342825031,,3816,4.65934065934066,549.1565934065934,1768,2.158730158730159,175.94047619047623,2.547395864497474,2.5801417990795494,43.154296875
6533,81.04587073635896,36.96995179128236,22.97928741231281,28.719899546235453,28.719899546235453,,3714,4.534798534798535,530.5686813186813,1850,2.258852258852259,190.88369963369962,2.576809342797889,2.5801417990795494,40.517578125
6567,79.19047824777354,40.07555146096255,22.97928741231281,26.60932426910111,26.60932426910111,,3623,4.423687423687424,513.985347985348,1954,2.385836385836386,209.83608058608058,2.5838820679409493,2.6144136714472355,38.3203125
6600,77.32236819303824,42.702146687811535,22.97928741231281,24.35135018545224,24.35135018545224,,3517,4.294261294261294,494.6684981684981,2038,2.4884004884004884,225.14377289377288,2.6315290871046986,2.633667022058173,35.859375
6633,75.54637241351433,46.267253016312566,22.97928741231281,21.425798784757383,21.425798784757383,,3440,4.2002442002442,480.6364468864469,2136,2.608058608058608,243.00274725274727,2.6315290871046986,2.678121428484458,32.6953125
6667,74.17786525352797,47.38084506852718,22.97928741231281,20.029015433812074,20.029015433812074,,3339,4.076923076923077,462.23076923076917,2203,2.6898656898656896,255.21245421245413,2.6559560446496193,2.678121428484458,30.673828125
6700,72.23372357000504,47.30120356947583,22.97928741231281,19.13999622674947,19.13999622674947,,3272,3.995115995115995,450.02106227106225,2292,2.7985347985347984,271.43131868131866,2.6874172692494653,2.6989575099545733,29.091796875
6733,71.36991941982205,48.0668448832512,22.97928741231281,17.280860469844544,17.280860469844544,,3217,3.9279609279609278,439.99816849816847,2364,2.886446886446886,284.5521978021977,2.7054558667088475,2.7340582190911475,26.71875
6767,70.80578088023701,49.05402268483074,22.97928741231281,15.89529442350323,15.89529442350323,,3160,3.8583638583638584,429.61080586080584,2406,2.937728937728938,292.20604395604397,2.7054558667088475,2.7546381993907065,24.697265625
6800,71.26089552042917,48.79404921991686,22.97928741231281,15.329705839054926,15.329705839054926,,3131,3.8229548229548227,424.3260073260073,2432,2.9694749694749696,296.9441391941392,2.7197775400305595,2.7546381993907065,23.37890625
6833,71.94825700396905,48.10023293360879,22.97928741231281,15.594554958012239,15.594554958012239,,3112,3.7997557997557996,420.86355311355305,2421,2.956043956043956,294.9395604395604,2.7342346127691615,2.7682533074152986,22.8515625
6867,73.04075788999582,46.69385588010208,22.97928741231281,16.609690247173315,16.609690247173315,,3130,3.8217338217338215,424.14377289377285,2433,2.970695970695971,297.1263736263736,2.736558388841734,2.771405291600852,23.115234375
6900,73.05791572155655,46.75053116487888,22.97928741231281,17.193780158242003,17.193780158242003,,3128,3.819291819291819,423.77930402930394,2428,2.9645909645909647,296.21520146520146,2.736558388841734,2.7691511085136624,23.203125
6934,73.30213095506278,46.52634898954231,22.97928741231281,17.531423925469483,17.531423925469483,,3130,3.8217338217338215,424.14377289377285,2424,2.95970695970696,295.48626373626377,2.7409036258953257,2.7691511085136624,23.203125
6967,74.276683247551,45.28198835936165,22.97928741231281,18.08070499538686,18.08070499538686,,3165,3.8644688644688645,430.521978021978,2395,2.9242979242979246,290.2014652014652,2.7394368929071464,2.7708786719472243,23.466796875
7000,75.19137625992873,44.62273937990191,22.97928741231281,19.548402890044812,19.548402890044812,,3187,3.8913308913308913,434.5311355311355,2351,2.87057387057387,282.1831501831501,2.728527944935031,2.7701324661230426,24.609375
7033,77.37121724341279,44.053972873203335,22.97928741231281,21.332918266547985,21.332918266547985,,3224,3.9365079365079363,441.27380952380946,2317,2.829059829059829,275.98717948717945,2.728527944935031,2.761272942377402,26.19140625
7067,79.07259138311493,42.663796790172434,22.97928741231281,22.608314505479793,22.608314505479793,,3289,4.015873015873016,453.1190476190476,2289,2.7948717948717947,270.88461538461536,2.7230313995291726,2.761272942377402,27.509765625
7101,80.67278058375325,41.964150640263995,22.97928741231281,23.465938387646965,23.465938387646965,,3340,4.078144078144078,462.41300366300356,2236,2.73015873015873,261.22619047619037,2.7146988386640327,2.753759571076801,28.564453125
7133,82.82448598245098,40.588661015052516,22.97928741231281,24.796280940524174,24.796280940524174,,3414,4.168498168498169,475.89835164835165,2212,2.7008547008547006,256.8525641025641,2.7090616837931147,2.7551687517425187,30.05859375
7167,84.24257164885978,38.98590452176071,22.74232457430064,25.83056207000192,25.83056207000192,,3458,4.222222222222222,483.9166666666667,2174,2.6544566544566544,249.92765567765565,2.7090616837931147,2.7522999039166547,31.376953125
7200,86.41474087371732,36.69233018356761,12.089951536909208,26.516405185866862,26.516405185866862,,3514,4.2905982905982905,494.1217948717948,2125,2.5946275946275947,240.99816849816852,2.709388270558811,2.7522999039166547,32.431640625
7233,88.67469809221855,34.66893618221275,12.089951536909208,27.9370113322809,27.9370113322809,,3572,4.361416361416362,504.691391941392,2080,2.5396825396825395,232.79761904761904,2.6895221084409875,2.7545643292935873,34.1015625
7267,89.48830665602982,33.93152420504121,12.089951536909208,29.38278817121525,29.38278817121525,,3607,4.4041514041514045,511.0695970695971,2014,2.459096459096459,220.77014652014648,2.6740569497772384,2.7352624030344326,35.859375
7300,89.67392625981387,33.73745879487772,12.089951536909208,30.658428306975644,30.658428306975644,,3650,4.456654456654457,518.9056776556777,1952,2.3833943833943834,209.4716117216117,2.645693542050669,2.709481721948245,37.529296875
7333,91.32504820804937,32.21685419139126,12.089951536909208,31.797368309709267,31.797368309709267,,3694,4.51037851037851,526.9239926739928,1916,2.3394383394383396,202.91117216117217,2.645693542050669,2.709481721948245,39.111328125
7367,91.19863022497856,31.98231689045366,12.089951536909208,31.99588958148462,31.99588958148462,,3732,4.556776556776557,533.848901098901,1870,2.283272283272283,194.52838827838826,2.62991813137371,2.6853692366516255,39.90234375
7400,93.44990763675789,30.30925194796408,12.089951536909208,32.50846285826321,32.50846285826321,,3802,4.642246642246643,546.6053113553114,1852,2.2612942612942613,191.24816849816847,2.6084884166011517,2.677567218535532,40.869140625
7433,93.80524881566157,29.78477838413499,12.089951536909208,33.07116632882493,33.07116632882493,,3819,4.663003663003663,549.7032967032968,1821,2.2234432234432235,185.5989010989011,2.613114953856965,2.6643262009742785,41.8359375
7467,96.0693718369573,27.299070490756066,12.089951536909208,33.462320939069215,33.462320939069215,,3884,4.742368742368742,561.5485347985349,1779,2.1721611721611724,177.94505494505498,2.613114953856965,2.6549562902593453,42.626953125
7500,96.33764865364978,27.117757805933834,12.089951536909208,34.21120548480314,34.21120548480314,,3906,4.769230769230769,565.5576923076923,1745,2.1306471306471306,171.74908424908426,2.5901590460298705,2.6549562902593453,43.681640625
