ms,valve_a_pct,valve_b_pct,q_des,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
3000,73.30558361290699,46.23832991298368,12.075905540465856,12.075905540465856,,3187,3.8913308913308913,434.5311355311355,2349,2.8681318681318677,281.8186813186813,2.7243396567842737,2.7261029212219965,18.10546875
3033,74.92075446817246,44.48995858464691,12.931383360417094,12.931383360417094,,3205,3.913308913308913,437.81135531135527,2358,2.8791208791208787,283.4587912087911,2.72983157410468,2.735856634982993,18.10546875
3067,74.99352627529629,44.41444140879815,13.923714087194835,13.923714087194835,,3197,3.9035409035409034,436.3534798534798,2348,2.8669108669108665,281.6364468864468,2.72983157410468,2.73450977177377,18.45703125
3100,75.04309287291869,44.32780545287286,14.031964152644438,14.031964152644438,,3205,3.913308913308913,437.81135531135527,2343,2.8608058608058604,280.72527472527463,2.737458223393349,2.735529098579177,18.28125
3133,75.57656860171245,43.85920535967816,14.476791156014908,14.476791156014908,,3207,3.9157509157509156,438.1758241758241,2331,2.846153846153846,278.53846153846143,2.735499549315377,2.735529098579177,18.45703125
3167,75.98238618839956,43.65478755914961,14.803515996982366,14.803515996982366,,3222,3.934065934065934,440.9093406593406,2302,2.8107448107448105,273.25366300366295,2.7259187405983125,2.73396333957868,18.6328125
3200,78.84478092677297,42.270732846888734,16.54100157359315,16.54100157359315,,3271,3.993894993894994,449.83882783882785,2286,2.791208791208791,270.33791208791206,2.7259187405983125,2.7331980255420523,20.0390625
3233,79.71131625532574,41.49496163935332,17.80569881907008,17.80569881907008,,3307,4.037851037851038,456.39926739926733,2243,2.7387057387057387,262.5018315018315,2.719338173585204,2.721941752114526,21.26953125
3267,82.11489777365937,39.58092608832315,19.141091022051267,19.141091022051267,,3375,4.1208791208791204,468.7912087912087,2206,2.6935286935286933,255.75915750915746,2.7135802798527426,2.721941752114526,22.67578125
3300,85.27615816382388,37.71704816485929,20.67461486673923,20.67461486673923,,3430,4.188034188034188,478.81410256410254,2164,2.642246642246642,248.10531135531133,2.7118631768055543,2.7234291592374573,24.345703125
3333,86.68277508271935,35.65239593351643,21.866780997179827,21.866780997179827,,3488,4.258852258852259,489.3836996336996,2103,2.5677655677655675,236.98901098901095,2.7118631768055543,2.6981185004710517,25.83984375
3367,89.05636970517874,34.117711847452526,23.549603735335808,23.549603735335808,,3529,4.30891330891331,496.8553113553114,2040,2.490842490842491,225.50824175824175,2.69118439311845,2.7335337525154104,27.7734375
3400,90.66046034590227,33.00470562905696,25.12420797136836,25.12420797136836,,3574,4.363858363858364,505.05586080586085,1973,2.409035409035409,213.29853479853477,2.676433845079827,2.7335337525154104,29.70703125
3433,90.24414248611224,32.92911173341253,25.65418871928931,25.65418871928931,,3615,4.413919413919414,512.5274725274726,1911,2.3333333333333335,202.0,2.6474998312840996,2.706671193497398,30.849609375
3467,92.0823149304552,31.37594322047163,27.049114569425356,27.049114569425356,,3666,4.476190476190476,521.8214285714286,1877,2.2918192918192917,195.80402930402926,2.6474998312840996,2.69020610949882,32.607421875
3500,92.22511004774732,30.70048028842825,27.63703285152561,27.63703285152561,,3718,4.5396825396825395,531.2976190476189,1847,2.255189255189255,190.33699633699632,2.628101686065283,2.6686044203576738,33.75
3533,93.48740379162146,29.676807859953115,28.09525167140589,28.09525167140589,,3758,4.588522588522588,538.5869963369962,1812,2.2124542124542126,183.9587912087912,2.615370900129323,2.6686044203576738,34.716796875
3567,95.17704306570857,28.13141954190691,29.29598350179336,29.29598350179336,,3804,4.644688644688645,546.9697802197803,1787,2.181929181929182,179.40293040293042,2.6078518158778263,2.667866531736165,36.2109375
3600,95.87217739276504,27.197132236346445,29.69234836852806,29.69234836852806,,3845,4.694749694749695,554.441391941392,1736,2.1196581196581197,170.10897435897434,2.5977619071941667,2.6492170286157983,37.08984375
3633,97.16614136495043,25.91731838468775,30.502886852917428,30.502886852917428,,3881,4.738705738705739,561.0018315018315,1708,2.0854700854700856,165.00641025641028,2.5977619071941667,2.642883143763476,38.232421875
3667,97.95596414854111,25.154460933741664,31.53446987480185,31.53446987480185,,3911,4.775335775335775,566.4688644688645,1671,2.04029304029304,158.26373626373623,2.5831738107134328,2.642883143763476,39.55078125
3700,97.70813371737293,23.80265945877923,31.887445885383013,31.887445885383013,,3962,4.837606837606837,575.7628205128204,1628,1.9877899877899876,150.42765567765565,2.5716156146621296,2.615140714508076,40.341796875
3733,98.23321417839443,22.832631571643805,32.317988670265876,32.317988670265876,,4000,4.8840048840048835,582.6877289377288,1603,1.9572649572649572,145.87179487179486,2.5594867250362037,2.605845534874992,41.1328125
3767,99.0047658410519,21.819098950962612,33.010595335811544,33.010595335811544,,4028,4.918192918192918,587.7902930402929,1562,1.907203907203907,138.40018315018312,2.5594867250362037,2.593314284248926,42.099609375
3800,99.54093186205087,20.98694434958969,33.48597616904097,33.48597616904097,,4055,4.951159951159951,592.7106227106227,1528,1.8656898656898657,132.20421245421247,2.549023225393893,2.593314284248926,42.890625
