ms,valve_a_pct,valve_b_pct,q_des_csv,qdes,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
3400,100.0,37.295224251302535,13.286752348169404,-1.6316697354902034,-1.6316697354902034,,4082,4.984126984126984,597.6309523809523,2015,2.46031746031746,220.9523809523809,2.2072196091014487,3.0372085754481213,-1.669921875
3433,100.0,37.53456821400493,13.286752348169404,-1.6993062926876106,-1.6993062926876106,,4081,4.982905982905983,597.4487179487179,2013,2.4578754578754576,220.58791208791203,2.20566792596308,3.037576275796942,-1.669921875
3467,100.0,37.88161947421301,13.286752348169404,-1.2356410780781637,-1.2356410780781637,,4069,4.968253968253968,595.2619047619048,2015,2.46031746031746,220.9523809523809,2.2061783580723464,3.0365190922355363,-1.318359375
3500,100.0,37.025674896259865,13.286752348169404,-1.0762182821797621,-1.0762182821797621,,4094,4.998778998778999,599.8177655677656,2028,2.4761904761904763,223.32142857142858,2.2061783580723464,3.0365190922355363,-1.142578125
3533,100.0,36.882235053032645,13.286752348169404,-1.04019640349932,-1.04019640349932,,4094,4.998778998778999,599.8177655677656,2030,2.4786324786324787,223.68589743589746,2.2073377414009867,3.034519659382943,-1.0546875
3567,100.0,36.95524819400441,13.286752348169404,-1.2366917712944483,-1.2366917712944483,,4092,4.996336996336996,599.4532967032967,2028,2.4761904761904763,223.32142857142858,2.2060281076902353,3.035632290504932,-1.142578125
3600,100.0,37.02581349046087,13.286752348169404,-1.3895446914712224,-1.3895446914712224,,4092,4.996336996336996,599.4532967032967,2022,2.468864468864469,222.22802197802199,2.206035017979366,3.035688783734402,-1.23046875
3633,100.0,37.43824546871475,13.286752348169404,-1.5130832075857352,-1.5130832075857352,,4078,4.979242979242979,596.9020146520146,2031,2.47985347985348,223.86813186813188,2.206035017979366,3.035688783734402,-1.318359375
3667,100.0,36.88036104627363,13.286752348169404,-1.4939906302152686,-1.4939906302152686,,4095,5.0,600.0,2036,2.485958485958486,224.77930402930403,2.207379128991829,3.0343028161311927,-1.318359375
3700,100.0,37.28396714838343,13.286752348169404,-1.4709610319454196,-1.4709610319454196,,4086,4.989010989010989,598.3598901098901,2020,2.4664224664224665,221.86355311355314,2.206055749041576,3.035405973571884,-1.318359375
3733,100.0,37.643861484543606,13.286752348169404,-1.4422760026405363,-1.4422760026405363,,4072,4.971916971916972,595.808608058608,2029,2.4774114774114775,223.503663003663,2.206124631766179,3.03450059925993,-1.318359375
3767,100.0,37.45836267956658,13.286752348169404,-1.4070345101403223,-1.4070345101403223,,4077,4.978021978021978,596.7197802197802,2033,2.4822954822954824,224.23260073260073,2.206124631766179,3.03450059925993,-1.318359375
3800,100.0,37.155316763136035,13.281825054839842,-1.7098888233940581,-1.7098888233940581,,4083,4.985347985347985,597.8131868131868,2030,2.4786324786324787,223.68589743589746,2.2063791245638207,3.032672381826352,-1.58203125
3833,100.0,37.42838757055325,11.143490810942328,-1.8659398477554028,-1.8659398477554028,,4076,4.976800976800977,596.5375457875458,2033,2.4822954822954824,224.23260073260073,2.2065592915066854,3.033840977931909,-1.7578125
3867,100.0,37.478445265224195,11.143490810942328,-1.783002240221247,-1.783002240221247,,4078,4.979242979242979,596.9020146520146,2035,2.484737484737485,224.5970695970696,2.205910080507159,3.034170492034948,-1.7578125
3900,100.0,36.95775557856481,11.143490810942328,-1.7020252484014318,-1.7020252484014318,,4095,5.0,600.0,2027,2.474969474969475,223.13919413919413,2.205910080507159,3.034170492034948,-1.7578125
3933,100.0,37.414980232367824,11.143490810942328,-1.5107475135399877,-1.5107475135399877,,4079,4.9804639804639805,597.0842490842491,2025,2.4725274725274726,222.77472527472528,2.2067325669189373,3.0328329945547954,-1.669921875
3967,100.0,37.68511740950239,11.143490810942328,-1.1065465752382249,-1.1065465752382249,,4069,4.968253968253968,595.2619047619048,2020,2.4664224664224665,221.86355311355314,2.2060832794522383,3.0332942431893084,-1.40625
4000,100.0,37.39679055428151,11.143490810942328,-0.9239425795809328,-0.9239425795809328,,4073,4.973137973137973,595.9908424908424,2040,2.490842490842491,225.50824175824175,2.2060763689363405,3.0323709530077507,-1.318359375
4033,100.0,36.960162699303325,10.88655911770646,-0.8399984903065807,-0.8399984903065807,,4085,4.987789987789988,598.1776556776557,2033,2.4822954822954824,224.23260073260073,2.2060763689363405,3.0323709530077507,-1.318359375
4067,100.0,37.17310047866683,-9.08682017213578,-0.6421028271815068,-0.6421028271815068,,4076,4.976800976800977,596.5375457875458,2030,2.4786324786324787,223.68589743589746,2.2067602215116024,3.030958895983742,-1.23046875
4100,100.0,37.23961748941459,-9.08682017213578,-0.4382631486639532,-0.4382631486639532,,4073,4.973137973137973,595.9908424908424,2039,2.4896214896214897,225.32600732600733,2.206145364091615,3.0318905202455135,-1.142578125
