ms,valve_a_pct,valve_b_pct,q_des,pid_u,tension_0x2B,tension_0x2A
1333,51.475554231913314,48.524445768086686,20.563629029674416,2.9511084638266216,2.601812645268947,2.6190755971732584,-0.0
1367,51.489263317796,48.510736682204,20.563629029674416,2.9785266355920057,2.6027111123137163,2.6196362641468975,-0.0
1400,51.5029724036787,48.4970275963213,20.563629029674416,3.00594480735739,2.602490736341217,2.6196362641468975,-0.0
1433,51.516681489561385,48.483318510438615,20.563629029674416,3.0333629791227743,2.6027932427290477,2.6205161299827515,-0.0
1467,51.53039057544408,48.46960942455592,20.563629029674416,3.060781150888159,2.6027932427290477,2.6200434661847223,-0.0
1500,51.54409966132677,48.45590033867323,20.563629029674416,3.088199322653542,2.603613045862823,2.6206044439921015,-0.0
1533,51.557808747209464,48.442191252790536,20.563629029674416,3.1156174944189265,2.603416846498318,2.6206044439921015,-0.0
1567,51.53767860103454,48.46232139896546,20.563629029674416,3.075357202069084,2.6037380934457963,2.6214193946372064,-0.0
1600,50.01061500385926,49.98938499614074,20.543271461824617,0.021230007718518795,2.6037380934457963,2.6210642684589054,-0.0
1633,49.03077184959192,50.96922815040808,0.097527252852835,-1.9384563008161602,2.604421941476286,2.6210101397095658,-0.0
1667,50.56203829475784,49.43796170524216,0.097527252852835,1.1240765895156817,2.604479846498151,2.6210101397095658,-0.0
1700,50.56210331292576,49.43789668707424,0.097527252852835,1.1242066258515184,2.605696012030645,2.621876112129325,-0.0
1733,50.56216833109368,49.43783166890632,0.097527252852835,1.1243366621873552,2.605696012030645,2.6212868635006448,-0.0
1767,50.5622333492616,49.4377666507384,0.097527252852835,1.124466698523192,2.6036617776210216,2.6207861366879714,-0.0
1800,50.56229836742951,49.43770163257049,0.097527252852835,1.1245967348590287,2.605425472782936,2.6207861366879714,-0.0
1834,50.562363385597436,49.437636614402564,0.097527252852835,1.1247267711948654,2.6028716630491306,2.6206650542288124,-0.0
1867,50.56242840376535,49.43757159623465,0.097527252852835,1.1248568075307022,2.6028745199583003,2.6181245479125397,-0.0
1900,50.56249342193327,49.43750657806673,0.097527252852835,1.124986843866539,2.6028745199583003,2.6180559563304855,-0.0
1933,50.562558440101185,49.437441559898815,0.097527252852835,1.1251168802023757,2.602762818313195,2.618152215868238,-0.0
1967,50.56262345826911,49.43737654173089,0.097527252852835,1.1252469165382124,2.6031579487261394,2.618152215868238,-0.0
2000,50.562688476437025,49.437311523562975,0.097527252852835,1.1253769528740492,2.603299251828995,2.6186358995176082,-0.0
2033,50.56275349460494,49.43724650539506,0.097527252852835,1.125506989209886,2.603299251828995,2.6183581541730216,-0.0
2067,50.562818512772864,49.437181487227136,0.097527252852835,1.1256370255457226,2.6039970777726222,2.6184626458090654,-0.0
2100,50.56288353094078,49.43711646905922,0.097527252852835,1.1257670618815594,2.603610044831527,2.6184626458090654,-0.0
2133,50.5629485491087,49.4370514508913,0.097527252852835,1.1258970982173961,2.6039178919295107,2.6186521879801092,-0.0
2167,50.58798587273815,49.41201412726185,0.097527252852835,1.1759717454763068,2.6039178919295107,2.6183581541730216,-0.0
2200,51.730414795842115,48.269585204157885,0.1312740566153581,3.4608295916842287,2.6043894869134765,2.618294453375591,-0.0
2234,52.460909451490686,47.539090548509314,15.258022995524836,4.9218189029813715,2.6038660085794607,2.618294453375591,-0.0
2267,51.34146990090434,48.65853009909566,15.258022995524836,2.6829398018086894,2.60383356440756,2.618987360434876,-0.0
2300,51.35164191613298,48.64835808386702,15.258022995524836,2.703283832265949,2.60383356440756,2.6183745841675687,-0.0
2333,51.3618139313616,48.6381860686384,15.258022995524836,2.7236278627232084,2.604539755207537,2.6188140718458017,-0.0
2367,51.371985946590236,48.628014053409764,15.258022995524836,2.743971893180468,2.604253241557608,2.6188140718458017,-0.0
2400,51.38215796181886,48.61784203818114,15.258022995524836,2.7643159236377266,2.6038224163298813,2.619212863185457,-0.0
2433,51.392329977047496,48.607670022952504,15.258022995524836,2.784659954094986,2.6038224163298813,2.618314053373359,-0.0
2467,51.40250199227612,48.59749800772388,15.258022995524836,2.8050039845522456,2.6017853786724956,2.6170010519411275,-0.0
2500,51.412674007504755,48.587325992495245,15.258022995524836,2.825348015009505,2.5987776946249985,2.6170010519411275,-0.0
2533,51.42284602273338,48.57715397726662,15.258022995524836,2.845692045466765,2.600068874668576,2.617423916678636,-0.0
2567,51.433018037962015,48.566981962037985,15.258022995524836,2.866036075924025,2.600068874668576,2.617443362855655,-0.0
2600,51.44319005319064,48.55680994680936,15.258022995524836,2.8863801063812837,2.6021283123072543,2.6191277915912807,-0.0
2633,51.453362068419274,48.546637931580726,15.258022995524836,2.9067241368385437,2.6021994202726386,2.6191277915912807,-0.0
2667,51.4635340836479,48.5364659163521,15.258022995524836,2.9270681672958037,2.6020389317303243,2.6199224351892987,-0.0
2700,51.473706098876534,48.526293901123466,15.258022995524836,2.9474121977530623,2.6020389317303243,2.61923247349668,-0.0
2733,51.48387811410516,48.51612188589484,15.258022995524836,2.9677562282103223,2.6025557179208882,2.6193615321416033,-0.0
2767,51.49405012933379,48.50594987066621,15.258022995524836,2.988100258667582,2.6022318339067017,2.6193615321416033,-0.0
2800,51.50422214456242,48.49577785543758,15.258022995524836,3.0084442891248417,2.6019679731140313,2.6195511719240683,-0.0
2833,51.512666784128896,48.487333215871104,15.258022995524836,3.0253335682577966,2.6019679731140313,2.619095061759979,-0.0
2867,51.37973448798949,48.62026551201051,15.217588234177054,2.7594689759789737,2.602757676211101,2.619265205903797,-0.0
2900,51.29232060901291,48.70767939098709,13.286752348169404,2.5846412180258267,2.602142447995965,2.619265205903797,-0.0
2933,51.44369135576502,48.55630864423498,13.286752348169404,2.8873827115300306,2.601905012265207,2.619463055364916,-0.0
2967,51.45254919057522,48.54745080942478,13.286752348169404,2.905098381150433,2.6022673896467534,2.6193174059898956,-0.0
3000,51.46140702538542,48.53859297461458,13.286752348169404,2.9228140507708367,2.6022673896467534,2.61925698669542,-0.0
3033,51.47026486019562,48.52973513980438,13.286752348169404,2.940529720391239,2.602210415137905,2.619377971581248,-0.0
3067,51.47912269500582,48.52087730499418,13.286752348169404,2.958245390011642,2.601992387119261,2.619377971581248,-0.0
3100,51.48798052981602,48.51201947018398,13.286752348169404,2.9759610596320436,2.6022866671598655,2.619358359635979,-0.0
3133,51.49683836462622,48.50316163537378,13.286752348169404,2.9936767292524467,2.6022866671598655,2.619240548394727,-0.0
3167,51.50569619943642,48.49430380056358,13.286752348169404,3.0113923988728497,2.602574998637986,2.619325625482668,-0.0
3200,51.51455403424663,48.48544596575337,13.286752348169404,3.0291080684932514,2.60214458977703,2.619325625482668,-0.0
3233,51.52341186905683,48.47658813094317,13.286752348169404,3.0468237381136545,2.6024226154081047,2.6196672733605246,-0.0
3267,51.53226970386703,48.46773029613297,13.286752348169404,3.0645394077340566,2.6024226154081047,2.619353456684077,-0.0
