ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg,qdes_esn
3000,91.92616368719729,32.07418727364556,13.286752348169404,,,3825,4.670329670329671,550.7967032967033,1916,2.3394383394383396,202.91117216117217,2.675530433299205,2.7061291468526485,30.9375
3033,91.62019269244853,32.253732975430495,13.286752348169404,,,3817,4.660561660561661,549.3388278388278,1919,2.343101343101343,203.45787545787547,2.675888497134038,2.718498029253364,31.025390625
3067,91.253969709159,32.63520040950648,13.286752348169404,,,3811,4.653235653235654,548.2454212454213,1915,2.3382173382173383,202.72893772893775,2.675888497134038,2.7167166994165433,31.11328125
3100,91.69892900289358,32.19236474635855,13.286752348169404,,,3815,4.6581196581196584,548.974358974359,1921,2.3455433455433456,203.82234432234432,2.6792971972815938,2.717006280580704,30.9375
3133,91.27973814844339,32.56177481463134,13.286752348169404,,,3808,4.64957264957265,547.6987179487179,1917,2.340659340659341,203.0934065934066,2.6783425344116605,2.717006280580704,31.025390625
3167,90.4963377968613,33.39672475348572,13.286752348169404,,,3797,4.6361416361416365,545.6941391941392,1903,2.3235653235653237,200.54212454212455,2.6706082109284406,2.717837198272875,31.11328125
3200,90.44195679123605,33.54904855907307,13.286752348169404,,,3801,4.641025641025641,546.423076923077,1894,2.312576312576313,198.90201465201469,2.6706082109284406,2.7139884417497067,31.376953125
3233,91.38149291597833,32.71106092660251,13.286752348169404,,,3818,4.661782661782662,549.5210622710623,1892,2.3101343101343104,198.5375457875458,2.6719330932603853,2.711319569846567,31.2890625
3267,90.77676293404734,33.248936601268916,13.286752348169404,,,3809,4.650793650793651,547.8809523809525,1899,2.318681318681319,199.81318681318683,2.6691476912922996,2.711319569846567,31.2890625
3300,90.18074288034838,33.8201176515095,13.286752348169404,,,3794,4.632478632478633,545.147435897436,1889,2.3064713064713067,197.99084249084254,2.669479252597532,2.712742954254213,31.2890625
3333,90.34469059795025,33.65057802118903,13.286752348169404,,,3799,4.638583638583639,546.0586080586081,1896,2.3150183150183152,199.26648351648353,2.669479252597532,2.711799375401688,31.2890625
3367,90.40812946573021,33.56561785308515,13.286752348169404,,,3801,4.641025641025641,546.423076923077,1903,2.3235653235653237,200.54212454212455,2.670259666779621,2.711621199119996,31.2890625
3400,90.07340333559576,33.874995155016784,13.286752348169404,,,3795,4.633699633699634,545.3296703296704,1904,2.324786324786325,200.724358974359,2.6692760063489644,2.711621199119996,31.2890625
