ms,valve_a_pct,valve_b_pct,q_des,qdes_esn,pid_u,tension_0x2B,tension_0x2A
1800,50.56237475825255,49.43762524174745,0.097527252852835,,1.1247495165051098,2.585857657618296,2.5979520548910626,-0.0
1833,50.562439776420476,49.437560223579524,0.097527252852835,,1.1248795528409465,2.582861445168615,2.5979520548910626,-0.0
1867,50.56250479458839,49.43749520541161,0.097527252852835,,1.1250095891767833,2.583418856797443,2.5951515183961003,-0.0
1900,50.56256981275631,49.43743018724369,0.097527252852835,,1.12513962551262,2.583418856797443,2.596863723821974,-0.0
1933,50.56263483092423,49.43736516907577,0.097527252852835,,1.1252696618484568,2.584779319856397,2.5977183257191485,-0.0
1967,50.56269984909215,49.43730015090785,0.097527252852835,,1.1253996981842935,2.586745183310157,2.5977183257191485,-0.0
2000,50.562764867260064,49.437235132739936,0.097527252852835,,1.1255297345201303,2.58753320442551,2.598394816709137,-0.0
2033,50.56282988542798,49.43717011457202,0.097527252852835,,1.125659770855967,2.58753320442551,2.598625644772181,-0.0
2067,50.562894903595904,49.437105096404096,0.097527252852835,,1.1257898071918038,2.58853775599194,2.5987533258499673,-0.0
2100,50.56295992176382,49.43704007823618,0.097527252852835,,1.1259198435276405,2.5878275838067903,2.5987533258499673,-0.0
2133,50.563024939931736,49.436975060068264,0.097527252852835,,1.1260498798634773,2.588146091184028,2.5986662565944703,-0.0
2167,50.58824527293705,49.41175472706295,0.097527252852835,,1.1764905458741048,2.588146091184028,2.5984788801587704,-0.0
2200,51.730210475852836,48.269789524147164,0.1256072474583361,,3.4604209517056783,2.5885648146014106,2.5986500117513107,-0.0
2233,52.46674044243896,47.53325955756104,15.258022995524836,,4.933480884877923,2.5879165163660636,2.5986500117513107,-0.0
2267,51.34154251385465,48.65845748614535,15.258022995524836,,2.6830850277093035,2.5880002134554054,2.5989327507661213,-0.0
2300,51.35171452908328,48.64828547091672,15.258022995524836,,2.703429058166563,2.5880002134554054,2.5986418893868537,-0.0
2333,51.361886544311915,48.638113455688085,15.258022995524836,,2.7237730886238225,2.5886969970486473,2.5991364255498453,-0.0
2367,51.37205855954054,48.62794144045946,15.258022995524836,,2.744117119081082,2.588154164389371,2.5991364255498453,-0.0
2400,51.38223057476917,48.61776942523083,15.258022995524836,,2.7644611495383407,2.5873739291678803,2.5992316435279204,-0.0
2433,51.3924025899978,48.6075974100022,15.258022995524836,,2.7848051799956,2.5873739291678803,2.597517665692363,-0.0
2467,51.40257460522643,48.59742539477357,15.258022995524836,,2.8051492104528597,2.5831359623232966,2.5963043745575836,-0.0
2500,51.41274662045506,48.58725337954494,15.258022995524836,,2.825493240910119,2.5814378778621334,2.5963043745575836,-0.0
2533,51.422918635683686,48.577081364316314,15.258022995524836,,2.845837271367379,2.583588502780421,2.5965024745420537,-0.0
2567,51.43309065091232,48.56690934908768,15.258022995524836,,2.866181301824639,2.583588502780421,2.5982996447103113,-0.0
2600,51.443262666140946,48.556737333859054,15.258022995524836,,2.886525332281898,2.5842538288208057,2.5995387143857753,-0.0
2633,51.45343468136958,48.54656531863042,15.258022995524836,,2.9068693627391577,2.585507046059936,2.5995387143857753,-0.0
2667,51.463606696598205,48.536393303401795,15.258022995524836,,2.9272133931964177,2.585337211079237,2.600468527062493,-0.0
2700,51.47377871182684,48.52622128817316,15.258022995524836,,2.9475574236536763,2.585534057162082,2.600463249110779,-0.0
2733,51.483950727055465,48.516049272944535,15.258022995524836,,2.9679014541109363,2.585534057162082,2.600436003723718,-0.0
2767,51.4941227422841,48.5058772577159,15.258022995524836,,2.9882454845681963,2.5855151069204543,2.600436003723718,-0.0
2800,51.504294757512724,48.495705242487276,15.258022995524836,,3.008589515025456,2.5852697625283256,2.600047482598901,-0.0
2833,51.51272210302999,48.48727789697001,15.258022995524836,,3.0254442060599906,2.585083833125964,2.600238023929166,-0.0
2867,51.37967640800721,48.62032359199279,15.215008768401926,,2.759352816014409,2.585083833125964,2.599905731154936,-0.0
2900,51.29250496721124,48.70749503278876,13.286752348169404,,2.585009934422467,2.5854182376711923,2.599865090273629,-0.0
2933,51.44376224907149,48.55623775092851,13.286752348169404,,2.887524498142979,2.584943727719339,2.599865090273629,-0.0
2967,51.45262008388169,48.54737991611831,13.286752348169404,,2.9052401677633815,2.5851108375963294,2.6001722733938712,-0.0
3000,51.46147791869189,48.53852208130811,13.286752348169404,,2.922955837383785,2.5851108375963294,2.59986209572007,-0.0
3033,51.47033575350209,48.52966424649791,13.286752348169404,,2.940671507004187,2.5856851008640196,2.6000607456509996,-0.0
3067,51.47919358831229,48.52080641168771,13.286752348169404,,2.95838717662459,2.5849680438852247,2.6000607456509996,-0.0
3100,51.4880514231225,48.5119485768775,13.286752348169404,,2.976102846244992,2.585253643139654,2.600348849889976,-0.0
3133,51.4969092579327,48.5030907420673,13.286752348169404,,2.993818515865395,2.585253643139654,2.6000142541075446,-0.0
3167,51.5057670927429,48.4942329072571,13.286752348169404,,3.011534185485798,2.585814516810375,2.6002291809788356,-0.0
3200,51.5146249275531,48.4853750724469,13.286752348169404,,3.0292498551061997,2.585091892007378,2.6002291809788356,-0.0
3233,51.5234827623633,48.4765172376367,13.286752348169404,,3.0469655247266028,2.585288710072676,2.600563818251861,-0.0
3267,51.5323405971735,48.4676594028265,13.286752348169404,,3.064681194347005,2.585288710072676,2.600068874668576,-0.0
3300,51.5411984319837,48.4588015680163,13.286752348169404,,3.0823968639674084,2.586016792884831,2.6004004855112868,-0.0
3333,51.5500562667939,48.4499437332061,13.286752348169404,,3.100112533587811,2.5854504796781717,2.6004004855112868,-0.0
3367,51.55891410160411,48.44108589839589,13.286752348169404,,3.1178282032082127,2.58532109105974,2.600523161939133,-0.0
3400,51.56777193641431,48.43222806358569,13.286752348169404,,3.1355438728286162,2.58532109105974,2.6003517026465954,-0.0
3433,51.57662977122451,48.42337022877549,13.286752348169404,,3.153259542449018,2.585946630103461,2.6005696671331893,-0.0
3467,51.58548760603471,48.41451239396529,13.286752348169404,,3.1709752120694206,2.5853912283839717,2.6005696671331893,-0.0
3500,51.59434544084491,48.40565455915509,13.286752348169404,,3.188690881689824,2.5854019754842077,2.6006561187535673,-0.0
