ms,valve_a_pct,valve_b_pct,q_des,pid_u,tension_0x2B,tension_0x2A
733,49.78381555036337,50.21618444963663,-2.633809216053691,-0.43236889927325817,2.3093929890057536,2.2719880983651572,0.0
767,49.75011001720188,50.24988998279812,-3.1686599097305073,-0.49977996559624216,2.3091353872509695,2.272617169165208,0.0
800,49.730762629425286,50.269237370574714,-3.7708028800288833,-0.5384747411494225,2.3091353872509695,2.271870795484365,0.0
833,49.72855022058002,50.27144977941998,-4.1264456596610675,-0.5428995588399679,2.309092179315302,2.2724075275548272,0.0
867,49.708760006492284,50.291239993507716,-4.480773526599959,-0.5824799870154338,2.3089563567419185,2.2724075275548272,0.0
900,49.69494758713426,50.30505241286574,-4.825357122132515,-0.610104825731476,2.309084898539462,2.2734982373418418,0.0
933,49.690758306558685,50.309241693441315,-5.0902927893490215,-0.6184833868826293,2.3089207918265338,2.2719346294903824,0.0
967,49.678713707856254,50.321286292143746,-5.269835782133208,-0.6425725842874915,2.3089207918265338,2.271710872826839,0.0
1000,49.655475927757074,50.344524072242926,-5.528525624025613,-0.6890481444858482,2.3094710658895576,2.271710872826839,0.0
1034,49.63761894810386,50.36238105189614,-5.796391398683686,-0.7247621037922801,2.309142190820966,2.2733711397950933,0.0
1067,49.61439521769682,50.38560478230318,-6.063011913442874,-0.7712095646063696,2.309349654462423,2.2721506133944103,0.0
1100,49.58620770648302,50.41379229351698,-6.408978587018278,-0.82758458703396,2.309349654462423,2.272094575776754,0.0
1133,49.563345391836464,50.436654608163536,-6.762464960014758,-0.8733092163270704,2.3098572107040996,2.273797949899319,0.0
1167,49.54806441579689,50.45193558420311,-7.115875521899955,-0.9038711684062304,2.309099340767755,2.273797949899319,0.0
1200,49.53693151674604,50.46306848325396,-7.374659173651343,-0.9261369665079218,2.309528372543945,2.2717738847640243,0.0
1233,49.53163467441505,50.46836532558495,-7.638092397336692,-0.9367306511698905,2.309528372543945,2.2712491370644265,0.0
1267,49.54195356218459,50.45804643781541,-7.725,-0.9160928756308192,2.3098644951330147,2.2716256187043387,0.0
1301,49.54353237231626,50.45646762768374,-7.725,-0.9129352553674891,2.309299636216758,2.2716256187043387,0.0
1333,49.54498575880526,50.45501424119474,-7.72391341866025,-0.9100284823894756,2.309241860600057,2.2721719338640374,0.0
1367,49.55073209302032,50.44926790697968,-7.635057625168777,-0.8985358139593561,2.309241860600057,2.270942710757438,0.0
1400,49.55003039365048,50.44996960634952,-7.54878016266056,-0.8999392126990426,2.310064890148733,2.2714090109660394,0.0
1433,49.55632291891198,50.44367708108802,-7.458797434081264,-0.8873541621760425,2.3094782291047102,2.2714090109660394,0.0
1467,49.56014592868253,50.43985407131747,-7.2833989607045035,-0.8797081426349438,2.309613620138624,2.2715831099036072,0.0
1500,49.559746217891316,50.440253782108684,-7.197571567983367,-0.8805075642173722,2.309613620138624,2.2710962654290054,0.0
1534,49.57773460196225,50.42226539803775,-7.016909095989773,-0.8445307960755004,2.3097358882331798,2.271906323203172,0.0
1567,49.599304772486484,50.400695227513516,-6.7503157841010735,-0.8013904550270372,2.309270748137379,2.271906323203172,0.0
1600,49.63872405728655,50.36127594271345,-6.405438309948888,-0.7225518854268915,2.309606336896423,2.27255575363797,0.0
1633,49.684989542571294,50.315010457428706,-5.784208795724286,-0.6300209148574082,2.309606336896423,2.2718023050538196,0.0
1667,49.705094812190566,50.294905187809434,-5.180382604443695,-0.5898103756188631,2.310243571818716,2.271508343894334,0.0
1701,49.73756809415411,50.26243190584589,-4.632241545140326,-0.5248638116917776,2.309871660178678,2.271508343894334,0.0
1733,49.775985672110615,50.224014327889385,-3.937658848132636,-0.44802865577877193,2.3099999201355828,2.272638496201999,0.0
1767,49.79067639020471,50.20932360979529,-3.3124444649133093,-0.4186472195905845,2.3099999201355828,2.2714941364407855,0.0
